Index	 Precision	 Recall	 F1-score
523	 0.98	 0.98	 0.98
524	 1.00	 1.00	 1.00
525	 1.00	 1.00	 1.00
526	 0.92	 0.92	 0.92
527	 1.00	 1.00	 1.00
528	 1.00	 1.00	 1.00
529	 1.00	 1.00	 1.00
530	 1.00	 1.00	 1.00
531	 1.00	 1.00	 1.00
532	 1.00	 1.00	 1.00
533	 1.00	 1.00	 1.00
534	 1.00	 1.00	 1.00
535	 1.00	 1.00	 1.00
536	 1.00	 1.00	 1.00
537	 1.00	 1.00	 1.00
538	 1.00	 1.00	 1.00
539	 1.00	 1.00	 1.00
540	 1.00	 1.00	 1.00
541	 1.00	 1.00	 1.00
542	 1.00	 1.00	 1.00
543	 1.00	 1.00	 1.00
544	 1.00	 1.00	 1.00
545	 0.93	 0.87	 0.90
546	 1.00	 1.00	 1.00
547	 1.00	 1.00	 1.00
548	 1.00	 1.00	 1.00
549	 1.00	 1.00	 1.00
550	 1.00	 1.00	 1.00
551	 1.00	 1.00	 1.00
552	 1.00	 1.00	 1.00
553	 1.00	 1.00	 1.00
554	 1.00	 1.00	 1.00
555	 1.00	 1.00	 1.00
556	 1.00	 1.00	 1.00
557	 1.00	 1.00	 1.00
558	 1.00	 1.00	 1.00
559	 1.00	 1.00	 1.00
560	 1.00	 1.00	 1.00
561	 1.00	 1.00	 1.00
562	 1.00	 1.00	 1.00
563	 1.00	 1.00	 1.00
564	 1.00	 1.00	 1.00
565	 1.00	 1.00	 1.00
566	 0.97	 0.95	 0.96
567	 1.00	 1.00	 1.00
568	 1.00	 1.00	 1.00
569	 1.00	 1.00	 1.00
570	 1.00	 1.00	 1.00
571	 0.98	 0.95	 0.96
572	 1.00	 1.00	 1.00
573	 1.00	 1.00	 1.00
574	 1.00	 1.00	 1.00
575	 1.00	 1.00	 1.00
576	 0.94	 0.88	 0.91
577	 1.00	 1.00	 1.00
578	 1.00	 1.00	 1.00
579	 1.00	 1.00	 1.00
580	 1.00	 1.00	 1.00
581	 1.00	 1.00	 1.00
582	 1.00	 1.00	 1.00
583	 1.00	 1.00	 1.00
584	 1.00	 1.00	 1.00
585	 1.00	 1.00	 1.00
586	 1.00	 1.00	 1.00
587	 1.00	 1.00	 1.00
588	 1.00	 1.00	 1.00
589	 1.00	 1.00	 1.00
590	 1.00	 1.00	 1.00
591	 1.00	 1.00	 1.00
592	 1.00	 1.00	 1.00
593	 0.96	 0.92	 0.94
594	 1.00	 1.00	 1.00
595	 1.00	 1.00	 1.00
596	 1.00	 1.00	 1.00
597	 0.95	 0.95	 0.95
598	 1.00	 1.00	 1.00
599	 1.00	 1.00	 1.00
600	 1.00	 1.00	 1.00
601	 1.00	 1.00	 1.00
602	 1.00	 1.00	 1.00
603	 1.00	 1.00	 1.00
604	 1.00	 1.00	 1.00
605	 1.00	 1.00	 1.00
606	 1.00	 1.00	 1.00
607	 1.00	 1.00	 1.00
608	 1.00	 1.00	 1.00
609	 1.00	 1.00	 1.00
610	 1.00	 1.00	 1.00
611	 1.00	 1.00	 1.00
612	 1.00	 1.00	 1.00
613	 1.00	 1.00	 1.00
614	 0.94	 0.94	 0.94
615	 1.00	 1.00	 1.00
616	 1.00	 1.00	 1.00
617	 1.00	 1.00	 1.00
618	 1.00	 1.00	 1.00
619	 1.00	 1.00	 1.00
620	 1.00	 1.00	 1.00
621	 1.00	 1.00	 1.00
622	 1.00	 1.00	 1.00
623	 1.00	 1.00	 1.00
624	 1.00	 1.00	 1.00
625	 1.00	 1.00	 1.00
626	 1.00	 1.00	 1.00
627	 1.00	 1.00	 1.00
628	 1.00	 1.00	 1.00
629	 1.00	 1.00	 1.00
630	 1.00	 1.00	 1.00
631	 1.00	 1.00	 1.00
632	 1.00	 1.00	 1.00
633	 1.00	 1.00	 1.00
634	 1.00	 1.00	 1.00
635	 1.00	 1.00	 1.00
636	 1.00	 1.00	 1.00
637	 1.00	 1.00	 1.00
638	 1.00	 1.00	 1.00
639	 1.00	 1.00	 1.00
640	 1.00	 1.00	 1.00
641	 1.00	 1.00	 1.00
642	 1.00	 1.00	 1.00
643	 1.00	 1.00	 1.00
644	 1.00	 1.00	 1.00
645	 1.00	 1.00	 1.00
646	 1.00	 1.00	 1.00
647	 1.00	 1.00	 1.00
648	 1.00	 1.00	 1.00
649	 0.96	 0.96	 0.96
650	 1.00	 1.00	 1.00
651	 1.00	 1.00	 1.00
652	 1.00	 1.00	 1.00
653	 1.00	 1.00	 1.00
654	 1.00	 1.00	 1.00
655	 1.00	 1.00	 1.00
656	 1.00	 1.00	 1.00
657	 1.00	 1.00	 1.00
658	 0.96	 0.93	 0.95
659	 1.00	 1.00	 1.00
660	 1.00	 1.00	 1.00
661	 1.00	 1.00	 1.00
662	 1.00	 1.00	 1.00
663	 1.00	 1.00	 1.00
664	 1.00	 1.00	 1.00
665	 1.00	 1.00	 1.00
666	 1.00	 1.00	 1.00
667	 1.00	 1.00	 1.00
668	 1.00	 1.00	 1.00
669	 1.00	 1.00	 1.00
670	 1.00	 1.00	 1.00
671	 1.00	 1.00	 1.00
672	 1.00	 1.00	 1.00
673	 1.00	 1.00	 1.00
674	 1.00	 1.00	 1.00
675	 1.00	 1.00	 1.00
676	 1.00	 1.00	 1.00
677	 1.00	 1.00	 1.00
678	 1.00	 1.00	 1.00
679	 1.00	 1.00	 1.00
680	 0.96	 0.93	 0.95
681	 0.99	 0.98	 0.98
682	 1.00	 1.00	 1.00
683	 0.98	 0.96	 0.97
684	 1.00	 1.00	 1.00
685	 1.00	 1.00	 1.00
686	 1.00	 1.00	 1.00
687	 1.00	 1.00	 1.00
688	 1.00	 1.00	 1.00
689	 1.00	 1.00	 1.00
690	 0.98	 0.96	 0.97
